  
       XFOIL         Version 6.97
  
 Calculated polar for: H15-5                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        0.920 (bottom)  
 Mach =   0.000     Re =     1.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4996   0.01508   0.00989   0.0121   0.7030   0.0055
  -4.800  -0.4793   0.01424   0.00894   0.0125   0.7018   0.0055
  -4.600  -0.4593   0.01337   0.00794   0.0130   0.7006   0.0055
  -4.400  -0.4389   0.01265   0.00712   0.0135   0.6994   0.0055
  -4.200  -0.4182   0.01204   0.00643   0.0139   0.6982   0.0055
  -4.000  -0.3973   0.01154   0.00585   0.0142   0.6967   0.0056
  -3.800  -0.3760   0.01110   0.00535   0.0145   0.6954   0.0056
  -3.600  -0.3543   0.01071   0.00493   0.0146   0.6942   0.0057
  -3.400  -0.3323   0.01039   0.00458   0.0147   0.6927   0.0058
  -3.200  -0.3117   0.00981   0.00391   0.0152   0.6910   0.0061
  -3.000  -0.2898   0.00949   0.00356   0.0153   0.6894   0.0068
  -2.800  -0.2673   0.00930   0.00336   0.0153   0.6879   0.0075
  -2.600  -0.2446   0.00913   0.00317   0.0152   0.6864   0.0081
  -2.400  -0.2223   0.00890   0.00291   0.0153   0.6849   0.0090
  -2.200  -0.1998   0.00873   0.00271   0.0153   0.6831   0.0105
  -2.000  -0.1771   0.00855   0.00254   0.0152   0.6814   0.0130
  -1.800  -0.1543   0.00839   0.00239   0.0151   0.6796   0.0166
  -1.600  -0.1314   0.00823   0.00227   0.0150   0.6776   0.0215
  -1.400  -0.1086   0.00807   0.00215   0.0149   0.6755   0.0292
  -1.200  -0.0860   0.00790   0.00203   0.0147   0.6736   0.0419
  -1.000  -0.0635   0.00772   0.00191   0.0147   0.6717   0.0606
  -0.800  -0.0415   0.00749   0.00180   0.0146   0.6695   0.0991
  -0.600  -0.0204   0.00711   0.00169   0.0147   0.6674   0.1795
  -0.400  -0.0000   0.00666   0.00159   0.0149   0.6651   0.2836
  -0.200   0.0199   0.00620   0.00150   0.0151   0.6626   0.3946
   0.000   0.0399   0.00580   0.00141   0.0154   0.6600   0.4976
   0.200   0.0591   0.00539   0.00134   0.0159   0.6574   0.6032
   0.400   0.0757   0.00492   0.00126   0.0170   0.6547   0.7274
   0.600   0.0892   0.00431   0.00124   0.0191   0.6523   0.8873
   0.800   0.1168   0.00425   0.00127   0.0180   0.6492   0.9200
   1.000   0.1406   0.00426   0.00124   0.0176   0.6459   0.9200
   1.200   0.1644   0.00428   0.00121   0.0173   0.6426   0.9200
   1.400   0.1883   0.00430   0.00119   0.0169   0.6395   0.9200
   1.600   0.2122   0.00431   0.00119   0.0164   0.6359   0.9200
   1.800   0.2361   0.00433   0.00118   0.0160   0.6319   0.9200
   2.000   0.2600   0.00436   0.00117   0.0156   0.6276   0.9200
   2.200   0.2839   0.00438   0.00117   0.0152   0.6235   0.9200
   2.400   0.3078   0.00441   0.00118   0.0147   0.6189   0.9200
   2.600   0.3317   0.00445   0.00118   0.0143   0.6141   0.9200
   2.800   0.3557   0.00449   0.00120   0.0138   0.6091   0.9200
   3.000   0.3796   0.00453   0.00122   0.0133   0.6030   0.9200
   3.200   0.4036   0.00459   0.00124   0.0128   0.5971   0.9200
   3.400   0.4276   0.00464   0.00127   0.0123   0.5905   0.9200
   3.600   0.4516   0.00472   0.00131   0.0118   0.5838   0.9200
   3.800   0.4756   0.00477   0.00136   0.0112   0.5765   0.9200
   4.000   0.4996   0.00487   0.00141   0.0106   0.5687   0.9200
   4.200   0.5236   0.00494   0.00147   0.0101   0.5609   0.9200
   4.400   0.5477   0.00504   0.00154   0.0095   0.5538   0.9200
   4.600   0.5717   0.00513   0.00161   0.0089   0.5458   0.9200
   4.800   0.5958   0.00524   0.00169   0.0082   0.5372   0.9200
   5.200   0.6439   0.00548   0.00187   0.0069   0.5191   0.9200
   5.400   0.6680   0.00562   0.00199   0.0062   0.5100   0.9200
   5.600   0.6921   0.00576   0.00210   0.0054   0.5001   0.9200
   5.800   0.7162   0.00590   0.00222   0.0047   0.4899   0.9200
   6.000   0.7404   0.00609   0.00236   0.0039   0.4782   0.9200
   6.200   0.7645   0.00628   0.00253   0.0031   0.4663   0.9200
   6.400   0.7887   0.00650   0.00270   0.0022   0.4531   0.9200
   6.600   0.8129   0.00674   0.00289   0.0012   0.4396   0.9200
   6.800   0.8370   0.00696   0.00308   0.0003   0.4275   0.9200
   7.000   0.8611   0.00721   0.00330  -0.0007   0.4139   0.9200
   7.200   0.8854   0.00757   0.00359  -0.0019   0.3961   0.9200
   7.400   0.9100   0.00795   0.00390  -0.0032   0.3780   0.9200
   7.600   0.9344   0.00833   0.00423  -0.0046   0.3622   0.9200
   7.800   0.9585   0.00874   0.00459  -0.0059   0.3465   0.9200
   8.200   1.0052   0.00983   0.00550  -0.0089   0.3037   0.9200
   8.400   1.0273   0.01040   0.00598  -0.0102   0.2839   0.9200
   8.600   1.0481   0.01106   0.00654  -0.0114   0.2601   0.9200
   8.800   1.0670   0.01183   0.00717  -0.0125   0.2345   0.9200
   9.000   1.0844   0.01260   0.00781  -0.0132   0.2105   0.9200
   9.200   1.1005   0.01332   0.00842  -0.0137   0.1886   0.9200
   9.400   1.1138   0.01415   0.00912  -0.0137   0.1676   0.9200
   9.600   1.1255   0.01483   0.00972  -0.0132   0.1508   0.9200
   9.800   1.1376   0.01553   0.01034  -0.0127   0.1361   0.9200
  10.000   1.1491   0.01626   0.01100  -0.0122   0.1221   0.9200
  10.200   1.1603   0.01700   0.01167  -0.0116   0.1083   0.9200
  10.400   1.1709   0.01777   0.01237  -0.0110   0.0952   0.9200
  10.600   1.1809   0.01858   0.01311  -0.0103   0.0831   0.9200
  10.800   1.1909   0.01939   0.01386  -0.0096   0.0720   0.9200
  11.000   1.2006   0.02022   0.01463  -0.0089   0.0616   0.9200
  11.200   1.2097   0.02109   0.01544  -0.0082   0.0528   0.9200
  11.400   1.2209   0.02182   0.01616  -0.0077   0.0469   0.9200
  11.600   1.2307   0.02265   0.01696  -0.0070   0.0403   0.9200
  11.800   1.2400   0.02352   0.01780  -0.0064   0.0350   0.9200
  12.000   1.2498   0.02437   0.01863  -0.0058   0.0301   0.9200
  12.200   1.2589   0.02530   0.01953  -0.0052   0.0257   0.9200
  12.400   1.2687   0.02619   0.02042  -0.0047   0.0220   0.9200
  12.600   1.2762   0.02726   0.02146  -0.0040   0.0177   0.9200
  12.800   1.2839   0.02834   0.02252  -0.0034   0.0136   0.9200
  13.000   1.2867   0.02982   0.02394  -0.0025   0.0074   0.9200
  13.200   1.2896   0.03133   0.02544  -0.0016   0.0035   0.9200
  13.400   1.2960   0.03259   0.02674  -0.0010   0.0025   0.9200
  13.600   1.3045   0.03368   0.02787  -0.0006   0.0022   0.9200
  13.800   1.3119   0.03488   0.02910  -0.0002   0.0020   0.9200
  14.000   1.3192   0.03611   0.03037   0.0003   0.0018   0.9200
  14.200   1.3261   0.03740   0.03170   0.0007   0.0017   0.9200
  14.400   1.3320   0.03880   0.03315   0.0011   0.0016   0.9200
  14.600   1.3383   0.04016   0.03456   0.0015   0.0015   0.9200
  14.800   1.3445   0.04156   0.03601   0.0018   0.0015   0.9200
  15.000   1.3510   0.04295   0.03744   0.0021   0.0015   0.9200
  15.200   1.3564   0.04447   0.03902   0.0023   0.0014   0.9200
  15.400   1.3618   0.04601   0.04060   0.0025   0.0014   0.9200
  15.600   1.3661   0.04766   0.04231   0.0027   0.0014   0.9200
  15.800   1.3704   0.04934   0.04405   0.0029   0.0013   0.9200
  16.000   1.3737   0.05117   0.04594   0.0031   0.0013   0.9200
  16.200   1.3770   0.05300   0.04783   0.0032   0.0013   0.9200
