  
       XFOIL         Version 6.99
  
 Calculated polar for: windex1200 originalprofil                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.8005   0.03066   0.02284   0.0426   0.6496   0.0291
  -4.500  -0.7291   0.02731   0.01935   0.0396   0.6467   0.0318
  -4.000  -0.6535   0.02541   0.01730   0.0359   0.6411   0.0345
  -3.500  -0.5830   0.02340   0.01528   0.0335   0.6359   0.0379
  -3.000  -0.5329   0.02221   0.01401   0.0346   0.6325   0.0419
  -2.500  -0.4903   0.02090   0.01269   0.0368   0.6299   0.0476
  -2.000  -0.4438   0.02018   0.01205   0.0376   0.6234   0.0575
  -1.500  -0.4024   0.01919   0.01117   0.0397   0.6188   0.0821
  -1.000  -0.4008   0.01649   0.00989   0.0479   0.6156   0.3610
   0.500  -0.1512   0.02552   0.02045   0.0442   0.6021   0.8470
   1.000  -0.0485   0.02645   0.02116   0.0378   0.5990   0.8641
   1.500   0.0333   0.02650   0.02103   0.0340   0.5965   0.8805
   2.500   0.2055   0.02604   0.02052   0.0226   0.5850   0.9159
   3.000   0.2512   0.02563   0.02001   0.0239   0.5819   0.9270
   3.500   0.3159   0.02467   0.01899   0.0213   0.5784   0.9313
   4.000   0.3624   0.02499   0.01939   0.0215   0.5708   0.9416
   4.500   0.4281   0.02356   0.01792   0.0190   0.5670   0.9454
   5.000   0.4700   0.02357   0.01784   0.0211   0.5642   0.9557
   5.500   0.5383   0.02275   0.01720   0.0168   0.5558   0.9584
   6.000   0.5980   0.02180   0.01624   0.0154   0.5516   0.9644
   7.000   0.7144   0.02064   0.01525   0.0121   0.5393   0.9763
   7.500   0.7717   0.01956   0.01411   0.0114   0.5344   0.9843
   8.000   0.8369   0.01850   0.01317   0.0085   0.5224   0.9902
   9.000   0.9610   0.01651   0.01132   0.0040   0.4941   0.9998
   9.500   1.0095   0.01614   0.01105   0.0042   0.4751   1.0000
  10.000   1.0578   0.01602   0.01102   0.0043   0.4556   1.0000
  10.500   1.1069   0.01617   0.01124   0.0037   0.4237   1.0000
  11.000   1.1565   0.01699   0.01201   0.0022   0.3739   1.0000
  11.500   1.2060   0.01991   0.01461  -0.0030   0.2877   1.0000
  12.000   1.2192   0.02674   0.02095  -0.0087   0.1909   1.0000
  12.500   0.9901   0.02307   0.01803   0.0528   0.3207   0.9389
  13.000   0.8599   0.02197   0.01696   0.0828   0.3374   0.9274
  13.500   0.8487   0.02445   0.01925   0.0866   0.2992   0.9252
  14.000   0.8390   0.02757   0.02219   0.0894   0.2549   0.9241
  14.500   0.8262   0.03156   0.02594   0.0915   0.2072   0.9232
  15.000   0.8169   0.03593   0.03009   0.0927   0.1622   0.9225
