  
       XFOIL         Version 6.99
  
 Calculated polar for: windex1200 originalprofil                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.700 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.500   1.7135   0.08151   0.07780  -0.2657   0.6361   0.5091
  -4.000   1.7385   0.08205   0.07839  -0.2611   0.6269   0.5116
  -3.500   1.7661   0.08259   0.07896  -0.2569   0.6155   0.5155
  -3.000   1.8050   0.08575   0.08216  -0.2547   0.6019   0.5275
  -2.500   1.8244   0.08663   0.08314  -0.2492   0.5909   0.5291
  -2.000   1.8411   0.08778   0.08432  -0.2434   0.5746   0.5312
  -1.500   1.8557   0.08942   0.08599  -0.2374   0.5547   0.5338
  -1.000   1.8684   0.09180   0.08834  -0.2314   0.5324   0.5381
  -0.500   1.8944   0.09519   0.09172  -0.2278   0.5051   0.5488
   0.000   1.8946   0.09791   0.09444  -0.2204   0.4782   0.5503
   0.500   1.8766   0.10244   0.09888  -0.2113   0.4338   0.5515
   1.000   1.8443   0.10844   0.10470  -0.2017   0.3783   0.5528
   1.500   1.8016   0.11561   0.11162  -0.1928   0.3118   0.5540
   2.000   1.7627   0.12261   0.11834  -0.1859   0.2449   0.5555
   2.500   1.7291   0.12929   0.12469  -0.1807   0.1751   0.5577
   3.000   1.7082   0.13542   0.13046  -0.1774   0.1098   0.5626
   3.500   1.7034   0.14125   0.13600  -0.1761   0.0614   0.5697
   4.000   1.6929   0.14523   0.13981  -0.1732   0.0308   0.5709
   4.500   1.6951   0.14781   0.14241  -0.1706   0.0234   0.5723
   5.000   1.6986   0.15041   0.14508  -0.1683   0.0206   0.5743
   5.500   1.7031   0.15295   0.14772  -0.1663   0.0189   0.5771
   6.000   1.7126   0.15550   0.15040  -0.1649   0.0182   0.5823
   6.500   1.7306   0.15896   0.15397  -0.1652   0.0174   0.5908
   7.000   1.7343   0.16119   0.15632  -0.1635   0.0167   0.5920
   7.500   1.7372   0.16357   0.15881  -0.1620   0.0160   0.5937
   8.000   1.7399   0.16594   0.16129  -0.1607   0.0154   0.5959
   8.500   1.7385   0.16889   0.16435  -0.1600   0.0145   0.5990
   9.000   1.7382   0.17218   0.16779  -0.1600   0.0139   0.6029
   9.500   1.7553   0.17525   0.17097  -0.1611   0.0135   0.6113
  10.000   1.7578   0.17740   0.17325  -0.1603   0.0132   0.6126
  10.500   1.7592   0.17964   0.17563  -0.1598   0.0130   0.6142
  11.000   1.7616   0.18180   0.17791  -0.1595   0.0127   0.6163
  11.500   1.7640   0.18397   0.18021  -0.1594   0.0123   0.6199
  12.000   1.7686   0.18642   0.18278  -0.1600   0.0119   0.6239
  12.500   1.7791   0.18941   0.18587  -0.1619   0.0114   0.6318
  13.000   1.7783   0.19168   0.18825  -0.1624   0.0111   0.6331
  13.500   1.7779   0.19381   0.19049  -0.1629   0.0108   0.6347
  14.000   1.7767   0.19594   0.19273  -0.1637   0.0104   0.6371
  14.500   1.7770   0.19736   0.19430  -0.1640   0.0099   0.6407
  15.000   1.7769   0.20014   0.19726  -0.1660   0.0097   0.6447
