  
       XFOIL         Version 6.99
  
 Calculated polar for: wxtail                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.700 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -17.000  -0.7646   0.06023   0.03956  -0.0816   0.8023   0.0205  15.2041  54.2163
 -16.800  -0.7771   0.05596   0.03543  -0.0840   0.8027   0.0202  15.1877  54.1811
 -16.600  -0.7838   0.05273   0.03239  -0.0858   0.8032   0.0200  15.1716  54.1592
 -16.400  -0.7870   0.05006   0.02994  -0.0872   0.8036   0.0198  15.1557  54.1419
 -16.200  -0.7883   0.04769   0.02779  -0.0884   0.8040   0.0197  15.1401  54.1276
 -16.000  -0.7875   0.04557   0.02592  -0.0894   0.8044   0.0195  15.1248  54.1147
 -15.800  -0.7862   0.04359   0.02419  -0.0904   0.8048   0.0194  15.1097  54.1034
 -15.600  -0.7829   0.04183   0.02268  -0.0911   0.8051   0.0193  15.0952  54.0929
 -15.400  -0.7793   0.04012   0.02123  -0.0918   0.8055   0.0192  15.0810  54.0833
 -15.200  -0.7744   0.03856   0.01993  -0.0924   0.8059   0.0191  15.0674  54.0744
 -15.000  -0.7685   0.03708   0.01871  -0.0929   0.8062   0.0191  15.0543  54.0663
 -14.800  -0.7623   0.03565   0.01755  -0.0934   0.8065   0.0190  15.0418  54.0583
 -14.600  -0.7548   0.03433   0.01649  -0.0938   0.8068   0.0189  15.0300  54.0506
 -14.400  -0.7464   0.03306   0.01549  -0.0942   0.8071   0.0188  15.0190  54.0434
 -14.200  -0.7376   0.03181   0.01451  -0.0946   0.8074   0.0188  15.0086  54.0367
 -14.000  -0.7284   0.03059   0.01359  -0.0950   0.8077   0.0187  14.9976  54.0306
 -13.800  -0.7200   0.02943   0.01278  -0.0950   0.8082   0.0187  14.9770  54.0252
 -13.600  -0.7100   0.02829   0.01198  -0.0953   0.8084   0.0186  14.9681  54.0204
 -13.400  -0.6973   0.02713   0.01115  -0.0958   0.8084   0.0186  14.9679  54.0164
 -13.200  -0.6840   0.02597   0.01035  -0.0962   0.8085   0.0186  14.9663  54.0139
 -13.000  -0.6703   0.02480   0.00958  -0.0965   0.8086   0.0186  14.9594  54.0135
 -12.800  -0.6566   0.02362   0.00882  -0.0966   0.8087   0.0186  14.9550  54.0166
 -12.600  -0.6430   0.02242   0.00806  -0.0968   0.8087   0.0187  14.9559  54.0252
 -12.400  -0.6294   0.02114   0.00726  -0.0971   0.8088   0.0188  14.9528  54.0435
 -12.200  -0.6150   0.01977   0.00643  -0.0976   0.8092   0.0192  14.9371  54.0806
 -12.000  -0.5993   0.01836   0.00556  -0.0986   0.8096   0.0200  14.9192  54.1645
 -11.800  -0.5810   0.01725   0.00489  -0.0996   0.8100   0.0215  14.9029  54.3209
