  
       XFOIL         Version 6.99
  
 Calculated polar for: wxtail-10                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.700 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -12.000  -1.3457   0.06616   0.03754   0.0334   0.6927   0.0171  19.9627  54.1493
 -11.800  -1.3482   0.06370   0.03535   0.0338   0.6919   0.0170  20.0084  54.1332
 -11.600  -1.3505   0.06132   0.03331   0.0343   0.6913   0.0169  20.0318  54.1200
 -11.400  -1.3513   0.05917   0.03149   0.0350   0.6906   0.0168  20.0577  54.1082
 -11.200  -1.3504   0.05722   0.02988   0.0358   0.6898   0.0167  20.0857  54.0973
 -11.000  -1.3492   0.05536   0.02836   0.0367   0.6889   0.0166  20.1171  54.0875
 -10.800  -1.3479   0.05357   0.02691   0.0377   0.6880   0.0165  20.1515  54.0785
 -10.600  -1.3445   0.05194   0.02563   0.0387   0.6869   0.0164  20.1897  54.0697
 -10.400  -1.3406   0.05040   0.02442   0.0397   0.6857   0.0164  20.2305  54.0614
 -10.200  -1.3365   0.04890   0.02325   0.0408   0.6845   0.0163  20.2734  54.0537
 -10.000  -1.3321   0.04742   0.02211   0.0419   0.6833   0.0162  20.3184  54.0463
  -9.800  -1.3263   0.04603   0.02106   0.0430   0.6820   0.0162  20.3655  54.0392
  -9.600  -1.3196   0.04471   0.02008   0.0441   0.6806   0.0161  20.4137  54.0323
  -9.400  -1.3124   0.04342   0.01914   0.0453   0.6793   0.0160  20.4622  54.0258
  -9.200  -1.3048   0.04214   0.01822   0.0464   0.6779   0.0160  20.5104  54.0200
  -9.000  -1.2967   0.04091   0.01735   0.0476   0.6766   0.0159  20.5583  54.0141
  -8.800  -1.2877   0.03971   0.01653   0.0487   0.6753   0.0159  20.6054  54.0085
  -8.600  -1.2778   0.03855   0.01575   0.0499   0.6740   0.0158  20.6514  54.0033
  -7.000  -1.2032   0.02842   0.00954   0.0612   0.6632   0.0161  21.0309  54.0300
  -6.800  -1.2010   0.02686   0.00862   0.0635   0.6625   0.0164  21.0553  54.0630
  -6.600  -1.1994   0.02535   0.00774   0.0658   0.6616   0.0169  21.0845  54.1211
  -6.400  -1.1968   0.02397   0.00694   0.0681   0.6605   0.0178  21.1194  54.2263
  -6.200  -1.1894   0.02296   0.00640   0.0699   0.6592   0.0191  21.1614  54.3630
  -6.000  -1.1783   0.02225   0.00604   0.0712   0.6577   0.0202  21.2092  54.4776
  -5.800  -1.1657   0.02165   0.00574   0.0724   0.6561   0.0211  21.2607  54.5763
  -5.600  -1.1523   0.02110   0.00547   0.0735   0.6544   0.0219  21.3144  54.6637
  -5.400  -1.1388   0.02058   0.00520   0.0746   0.6528   0.0226  21.3687  54.7395
  -5.200  -1.1249   0.02009   0.00495   0.0757   0.6511   0.0232  21.4227  54.8044
  -5.000  -1.1106   0.01962   0.00470   0.0768   0.6494   0.0237  21.4778  54.8591
  -4.800  -1.0961   0.01916   0.00446   0.0778   0.6476   0.0241  21.5344  54.9047
  -4.600  -1.0813   0.01873   0.00423   0.0789   0.6459   0.0245  21.5908  54.9424
  -4.400  -1.0662   0.01832   0.00402   0.0799   0.6442   0.0248  21.6452  54.9727
  -4.200  -1.0508   0.01793   0.00381   0.0810   0.6426   0.0250  21.6961  54.9966
  -4.000  -1.0372   0.01741   0.00355   0.0823   0.6411   0.0261  21.7426  55.0927
  -3.800  -1.0231   0.01692   0.00331   0.0836   0.6397   0.0281  21.7903  55.2800
  -3.600  -1.0086   0.01648   0.00310   0.0848   0.6380   0.0310  21.8435  55.5305
  -3.400  -0.9938   0.01607   0.00290   0.0860   0.6359   0.0347  21.9101  55.8592
  -3.200  -0.9822   0.01560   0.00268   0.0877   0.6330   0.0500  22.0031  57.0331
  -3.000  -0.9740   0.01494   0.00246   0.0900   0.6322   0.0780  22.0284  58.7789
  -2.800  -0.9628   0.01434   0.00226   0.0917   0.6312   0.1068  22.0626  60.2982
  -2.600  -0.9504   0.01374   0.00205   0.0933   0.6298   0.1395  22.1072  61.8243
  -2.400  -0.9382   0.01310   0.00182   0.0949   0.6281   0.1778  22.1608  63.4226
  -2.200  -0.9258   0.01246   0.00160   0.0964   0.6262   0.2223  22.2195  65.1259
  -2.000  -0.9146   0.01173   0.00135   0.0982   0.6244   0.2775  22.2775  67.0705
  -1.800  -0.9052   0.01089   0.00107   0.1002   0.6226   0.3449  22.3347  69.2899
  -1.600  -0.8950   0.01012   0.00084   0.1022   0.6207   0.4133  22.3928  71.4353
  -1.400  -0.8816   0.00955   0.00070   0.1037   0.6189   0.4688  22.4514  73.1355
  -1.200  -0.8651   0.00917   0.00061   0.1048   0.6170   0.5051  22.5103  74.2369
  -1.000  -0.8481   0.00882   0.00053   0.1058   0.6151   0.5404  22.5714  75.3072
  -0.800  -0.8286   0.00859   0.00047   0.1065   0.6131   0.5639  22.6355  76.0244
  -0.600  -0.8095   0.00833   0.00039   0.1072   0.6110   0.5833  22.7018  76.6187
  -0.200  -0.7683   0.00802   0.00027   0.1080   0.6062   0.6121  22.8536  77.5087
   0.000  -0.7472   0.00795   0.00025   0.1083   0.6026   0.6273  22.9641  77.9811
   0.200  -0.7282   0.00773   0.00022   0.1090   0.6008   0.6515  23.0226  78.7443
   0.400  -0.7094   0.00753   0.00027   0.1099   0.5996   0.6803  23.0605  79.6706
   0.600  -0.6868   0.00794   0.00091   0.1104   0.5979   0.7002  23.1122  80.5365
   0.800  -0.6612   0.00856   0.00162   0.1105   0.5957   0.7063  23.1800  80.8775
   1.200  -0.6164   0.00842   0.00140   0.1104   0.5908   0.7433  23.3354  82.6109
   1.400  -0.5932   0.00857   0.00154   0.1105   0.5883   0.7491  23.4121  82.8160
   1.600  -0.5699   0.00874   0.00164   0.1105   0.5856   0.7529  23.4955  82.9498
   1.800  -0.5470   0.00875   0.00168   0.1106   0.5828   0.7560  23.5826  83.0603
   2.000  -0.5240   0.00866   0.00171   0.1106   0.5800   0.7596  23.6714  83.1952
   2.200  -0.5005   0.00870   0.00178   0.1106   0.5770   0.7625  23.7648  83.3016
   2.400  -0.4770   0.00880   0.00185   0.1105   0.5729   0.7655  23.8925  83.4111
   2.600  -0.4535   0.00892   0.00194   0.1105   0.5688   0.7685  24.0181  83.5194
   2.800  -0.4300   0.00895   0.00199   0.1104   0.5669   0.7713  24.0794  83.6222
   3.000  -0.4067   0.00900   0.00203   0.1104   0.5642   0.7740  24.1610  83.7232
   3.200  -0.3834   0.00905   0.00206   0.1104   0.5610   0.7765  24.2592  83.8165
   3.400  -0.3600   0.00911   0.00208   0.1103   0.5577   0.7786  24.3619  83.8907
   3.600  -0.3365   0.00917   0.00207   0.1102   0.5540   0.7801  24.4756  83.9453
   3.800  -0.3129   0.00925   0.00206   0.1101   0.5500   0.7812  24.6012  83.9887
   4.000  -0.2911   0.00905   0.00200   0.1102   0.5455   0.7839  24.7384  84.0891
   4.200  -0.2685   0.00898   0.00198   0.1103   0.5395   0.7862  24.9230  84.1801
   4.400  -0.2452   0.00897   0.00201   0.1102   0.5355   0.7880  25.0486  84.2491
   4.600  -0.2217   0.00895   0.00202   0.1101   0.5321   0.7895  25.1531  84.3065
   4.800  -0.1982   0.00894   0.00203   0.1100   0.5276   0.7909  25.2918  84.3605
   5.000  -0.1749   0.00894   0.00201   0.1099   0.5218   0.7923  25.4676  84.4122
   5.200  -0.1516   0.00894   0.00197   0.1098   0.5152   0.7937  25.6702  84.4652
   5.400  -0.1286   0.00899   0.00194   0.1098   0.5077   0.7953  25.9019  84.5264
   5.600  -0.1053   0.00902   0.00194   0.1097   0.5020   0.7969  26.0779  84.5882
   5.800  -0.0820   0.00902   0.00193   0.1096   0.4952   0.7983  26.2849  84.6437
