  
       XFOIL         Version 6.99
  
 Calculated polar for: wxtail                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -1.3909   0.02555   0.01872   0.1219   0.6268   0.0164
  -4.500  -1.3541   0.02438   0.01751   0.1247   0.6235   0.0169
  -4.000  -1.3184   0.02310   0.01619   0.1278   0.6189   0.0182
  -3.500  -1.2785   0.02214   0.01518   0.1304   0.6145   0.0194
  -3.000  -1.2378   0.02124   0.01423   0.1328   0.6082   0.0210
  -2.500  -1.1963   0.02037   0.01337   0.1352   0.6048   0.0239
  -2.000  -1.1551   0.01946   0.01253   0.1376   0.6001   0.0331
  -1.500  -1.1156   0.01840   0.01169   0.1403   0.5950   0.0663
  -1.000  -1.0755   0.01741   0.01096   0.1429   0.5885   0.1165
  -0.500  -1.0365   0.01635   0.01036   0.1457   0.5846   0.1987
   0.500  -0.9753   0.01422   0.00954   0.1544   0.5741   0.4513
   1.000  -0.9519   0.01325   0.00894   0.1602   0.5679   0.5300
   1.500  -0.9278   0.01223   0.00810   0.1658   0.5631   0.5712
   2.000  -0.9259   0.01029   0.00635   0.1752   0.5570   0.6173
   2.500  -0.9608   0.00770   0.00381   0.1917   0.5509   0.6530
   3.000  -0.9761   0.00665   0.00289   0.2062   0.5461   0.6970
   3.500  -0.7130   0.01478   0.01159   0.1704   0.5334   0.7428
   4.000  -0.6172   0.01635   0.01314   0.1640   0.5238   0.7464
   4.500  -0.5316   0.01761   0.01437   0.1595   0.5119   0.7508
   5.500  -0.6742   0.01082   0.00741   0.2047   0.5009   0.8144
   6.000  -0.6154   0.01136   0.00789   0.2042   0.4881   0.8164
   6.500  -0.5583   0.01106   0.00758   0.2041   0.4734   0.8186
   7.000  -0.4811   0.01193   0.00847   0.2004   0.4549   0.8202
   7.500  -0.3927   0.01322   0.00977   0.1947   0.4283   0.8213
   8.000  -0.2156   0.01680   0.01320   0.1729   0.3552   0.8221
   8.500  -0.1683   0.01733   0.01359   0.1741   0.2993   0.8268
   9.500  -0.1634   0.01557   0.01157   0.1918   0.2256   0.8304
  10.000   0.0429   0.02066   0.01626   0.1646   0.1044   0.8466
  10.500   0.1098   0.02106   0.01649   0.1613   0.0649   0.8469
  11.000   0.1777   0.02162   0.01687   0.1574   0.0333   0.8472
  11.500   0.2406   0.02195   0.01719   0.1548   0.0273   0.8475
  12.000   0.3065   0.02243   0.01768   0.1514   0.0244   0.8478
  12.500   0.3696   0.02283   0.01812   0.1485   0.0231   0.8482
  13.000   0.4299   0.02342   0.01873   0.1455   0.0215   0.8483
  13.500   0.4934   0.02431   0.01969   0.1413   0.0205   0.8485
  14.000   0.5503   0.02504   0.02049   0.1384   0.0198   0.8486
  14.500   0.6051   0.02606   0.02157   0.1352   0.0193   0.8487
  15.000   0.6549   0.02728   0.02285   0.1323   0.0186   0.8488
  15.500   0.6972   0.02886   0.02450   0.1298   0.0181   0.8490
  16.000   0.7198   0.03126   0.02699   0.1289   0.0176   0.8496
  16.500   0.6781   0.03335   0.02919   0.1391   0.0174   0.8516
  17.000   0.5795   0.03348   0.02936   0.1621   0.0177   0.8575
  17.500   0.5646   0.03593   0.03188   0.1671   0.0175   0.8591
  18.000   0.5556   0.03902   0.03506   0.1698   0.0173   0.8597
  18.500   0.5653   0.04125   0.03737   0.1711   0.0171   0.8598
  19.000   0.5729   0.04386   0.04006   0.1718   0.0169   0.8598
  19.500   0.5758   0.04707   0.04335   0.1721   0.0166   0.8598
  20.000   0.5783   0.05050   0.04687   0.1720   0.0165   0.8596
