  
       XFOIL         Version 6.99
  
 Calculated polar for: windex1200 originalprofil                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000   0.6402   0.01604   0.00985  -0.1800   0.6674   0.7052
  -3.500   0.6854   0.01682   0.01057  -0.1770   0.6618   0.7162
  -3.000   0.7371   0.01727   0.01094  -0.1760   0.6562   0.7259
  -2.500   0.7864   0.01765   0.01130  -0.1747   0.6501   0.7357
  -2.000   0.8433   0.01797   0.01152  -0.1750   0.6452   0.7446
  -1.500   0.8920   0.01823   0.01182  -0.1739   0.6390   0.7536
  -1.000   0.9468   0.01850   0.01206  -0.1741   0.6339   0.7623
  -0.500   1.0005   0.01872   0.01230  -0.1741   0.6282   0.7709
   0.000   1.0548   0.01900   0.01262  -0.1744   0.6229   0.7793
   0.500   1.1093   0.01919   0.01282  -0.1745   0.6179   0.7866
   1.000   1.1569   0.01939   0.01314  -0.1734   0.6119   0.7931
   1.500   1.2174   0.01955   0.01328  -0.1749   0.6073   0.8001
   2.000   1.2684   0.01985   0.01373  -0.1748   0.6005   0.8072
   2.500   1.3149   0.01991   0.01391  -0.1733   0.5942   0.8125
   3.000   1.3746   0.02001   0.01406  -0.1747   0.5889   0.8183
   3.500   1.4199   0.02000   0.01419  -0.1731   0.5806   0.8237
   4.000   1.4650   0.01972   0.01399  -0.1714   0.5707   0.8287
   4.500   1.5006   0.01960   0.01404  -0.1679   0.5595   0.8339
   5.000   1.5234   0.01920   0.01373  -0.1618   0.5448   0.8384
   5.500   1.5475   0.01925   0.01386  -0.1562   0.5257   0.8427
   6.000   1.5781   0.01972   0.01442  -0.1523   0.5067   0.8463
   6.500   1.6054   0.02039   0.01522  -0.1479   0.4856   0.8494
   7.000   1.6284   0.02143   0.01638  -0.1430   0.4584   0.8524
   7.500   1.6403   0.02299   0.01795  -0.1366   0.4188   0.8550
   8.000   1.6315   0.02607   0.02083  -0.1279   0.3598   0.8570
   8.500   1.5993   0.03131   0.02579  -0.1178   0.2961   0.8591
   9.000   1.5603   0.03921   0.03347  -0.1110   0.2328   0.8603
   9.500   1.5223   0.04830   0.04231  -0.1066   0.1751   0.8613
  10.000   1.4903   0.05726   0.05102  -0.1035   0.1222   0.8622
  10.500   1.4622   0.06627   0.05977  -0.1012   0.0757   0.8627
  11.000   1.4459   0.07450   0.06786  -0.1000   0.0512   0.8637
  11.500   1.4409   0.08177   0.07520  -0.0996   0.0444   0.8646
  12.000   1.4406   0.08861   0.08217  -0.0996   0.0406   0.8653
  12.500   1.4404   0.09544   0.08909  -0.0999   0.0382   0.8660
  13.000   1.4481   0.10121   0.09502  -0.1003   0.0363   0.8672
  13.500   1.4584   0.10654   0.10046  -0.1008   0.0347   0.8684
  14.000   1.4718   0.11107   0.10497  -0.1010   0.0332   0.8694
  14.500   1.4905   0.11507   0.10913  -0.1015   0.0320   0.8705
  15.000   1.5115   0.11852   0.11272  -0.1018   0.0310   0.8718
