  
       XFOIL         Version 6.97
  
 Calculated polar for: H15+20                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        0.920 (bottom)  
 Mach =   0.000     Re =     1.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000   0.1497   0.01355   0.00908  -0.2076   0.7601   0.0061
  -9.500   0.2102   0.01156   0.00678  -0.2100   0.7580   0.0061
  -9.000   0.2706   0.01043   0.00548  -0.2120   0.7557   0.0062
  -8.500   0.3326   0.00937   0.00421  -0.2143   0.7529   0.0072
  -8.000   0.3920   0.00901   0.00381  -0.2156   0.7509   0.0089
  -7.500   0.4517   0.00856   0.00331  -0.2169   0.7487   0.0128
  -7.000   0.5110   0.00820   0.00300  -0.2182   0.7460   0.0257
  -6.500   0.5698   0.00792   0.00279  -0.2193   0.7431   0.0538
  -6.000   0.6296   0.00745   0.00261  -0.2209   0.7399   0.1618
  -5.500   0.6897   0.00704   0.00255  -0.2226   0.7367   0.3063
  -5.000   0.7485   0.00671   0.00252  -0.2238   0.7337   0.4299
  -4.500   0.8064   0.00656   0.00252  -0.2246   0.7301   0.5080
  -4.000   0.8637   0.00650   0.00254  -0.2252   0.7263   0.5716
  -3.500   0.9206   0.00652   0.00260  -0.2257   0.7221   0.6075
  -3.000   0.9766   0.00654   0.00267  -0.2260   0.7179   0.6352
  -2.500   1.0317   0.00658   0.00275  -0.2261   0.7128   0.6597
  -2.000   1.0868   0.00667   0.00285  -0.2262   0.7075   0.6785
  -1.500   1.1408   0.00674   0.00297  -0.2261   0.7015   0.6952
  -1.000   1.1937   0.00688   0.00311  -0.2257   0.6945   0.7088
  -0.500   1.2450   0.00700   0.00328  -0.2251   0.6855   0.7210
   0.000   1.2929   0.00718   0.00349  -0.2237   0.6743   0.7317
   0.500   1.3422   0.00743   0.00374  -0.2227   0.6617   0.7416
   1.000   1.3902   0.00775   0.00407  -0.2214   0.6442   0.7495
   1.500   1.4348   0.00823   0.00447  -0.2195   0.6161   0.7575
   2.000   1.4731   0.00899   0.00507  -0.2164   0.5726   0.7635
   2.500   1.5064   0.01002   0.00586  -0.2125   0.5194   0.7700
   3.000   1.5372   0.01115   0.00677  -0.2082   0.4678   0.7748
   3.500   1.5616   0.01257   0.00793  -0.2028   0.4088   0.7791
   4.000   1.5788   0.01433   0.00937  -0.1962   0.3442   0.7841
   4.500   1.5889   0.01646   0.01114  -0.1888   0.2743   0.7881
   5.000   1.5999   0.01865   0.01302  -0.1817   0.2136   0.7905
   5.500   1.6106   0.02095   0.01510  -0.1749   0.1662   0.7931
   6.000   1.6244   0.02326   0.01722  -0.1689   0.1259   0.7961
   6.500   1.6349   0.02597   0.01975  -0.1630   0.0901   0.8001
   7.000   1.6472   0.02894   0.02260  -0.1579   0.0620   0.8026
   7.500   1.6625   0.03190   0.02550  -0.1537   0.0428   0.8041
   8.000   1.6778   0.03489   0.02844  -0.1495   0.0284   0.8058
   8.500   1.6928   0.03792   0.03146  -0.1456   0.0187   0.8078
   9.000   1.6992   0.04173   0.03522  -0.1409   0.0069   0.8099
   9.500   1.7051   0.04573   0.03928  -0.1365   0.0019   0.8123
  10.000   1.7179   0.04918   0.04283  -0.1330   0.0014   0.8149
  10.500   1.7280   0.05298   0.04677  -0.1295   0.0012   0.8169
  11.000   1.7386   0.05682   0.05075  -0.1263   0.0011   0.8182
  11.500   1.7474   0.06093   0.05500  -0.1233   0.0010   0.8195
  12.000   1.7540   0.06544   0.05967  -0.1205   0.0010   0.8210
  12.500   1.7581   0.07038   0.06477  -0.1179   0.0009   0.8224
  13.000   1.7594   0.07574   0.07029  -0.1155   0.0009   0.8238
  13.500   1.7586   0.08151   0.07623  -0.1135   0.0008   0.8253
  14.000   1.7541   0.08794   0.08284  -0.1119   0.0007   0.8270
  14.500   1.7452   0.09507   0.09016  -0.1107   0.0007   0.8285
  15.000   1.7287   0.10353   0.09885  -0.1102   0.0006   0.8296
  15.500   1.6974   0.11453   0.11016  -0.1110   0.0006   0.8304
  16.000   1.6790   0.12389   0.11974  -0.1125   0.0005   0.8313
  16.500   1.6672   0.13255   0.12860  -0.1147   0.0005   0.8323
  17.000   1.6532   0.14181   0.13806  -0.1179   0.0005   0.8332
  17.500   1.6373   0.15162   0.14808  -0.1220   0.0005   0.8339
  18.000   1.6197   0.16211   0.15879  -0.1273   0.0005   0.8347
  18.500   1.6016   0.17312   0.17001  -0.1336   0.0005   0.8355
  19.000   1.5834   0.18455   0.18166  -0.1409   0.0005   0.8364
  19.500   1.5647   0.19663   0.19395  -0.1493   0.0005   0.8373
  20.000   1.5468   0.20893   0.20645  -0.1583   0.0005   0.8381
  20.500   1.5300   0.22145   0.21916  -0.1679   0.0005   0.8388
  21.000   1.5147   0.23420   0.23210  -0.1780   0.0005   0.8395
  21.500   1.5015   0.24706   0.24513  -0.1884   0.0005   0.8401
  22.000   1.4906   0.25982   0.25806  -0.1989   0.0005   0.8408
  22.500   1.4818   0.27262   0.27101  -0.2095   0.0005   0.8414
  23.000   1.4748   0.28555   0.28409  -0.2202   0.0005   0.8421
  23.500   1.4666   0.30043   0.29913  -0.2322   0.0005   0.8428
  24.000   1.4462   0.32995   0.32891  -0.2530   0.0006   0.8426
