  
       XFOIL         Version 6.97
  
 Calculated polar for: H15-5                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        0.920 (bottom)  
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0904   0.01966   0.01221  -0.0147   0.7119   0.0503
  -1.500  -0.0555   0.01725   0.01102  -0.0107   0.7091   0.3452
  -0.500   0.1012   0.01528   0.01082  -0.0192   0.6983   0.9200
   0.000   0.1532   0.01473   0.01001  -0.0176   0.6964   0.9200
   0.750   0.2405   0.01476   0.00981  -0.0192   0.6849   0.9200
   1.000   0.2663   0.01442   0.00939  -0.0183   0.6839   0.9200
   1.250   0.2920   0.01406   0.00895  -0.0174   0.6831   0.9200
   1.500   0.3176   0.01371   0.00852  -0.0165   0.6822   0.9200
   2.000   0.3770   0.01389   0.00865  -0.0181   0.6718   0.9200
   2.250   0.4028   0.01350   0.00820  -0.0172   0.6705   0.9200
   2.500   0.4285   0.01311   0.00775  -0.0163   0.6694   0.9200
   3.000   0.4861   0.01311   0.00775  -0.0172   0.6595   0.9200
   3.250   0.5122   0.01274   0.00733  -0.0164   0.6575   0.9200
   3.500   0.5380   0.01234   0.00689  -0.0154   0.6558   0.9200
   4.500   0.6490   0.01183   0.00638  -0.0154   0.6363   0.9200
   4.750   0.6764   0.01166   0.00620  -0.0152   0.6307   0.9200
   5.000   0.7021   0.01133   0.00583  -0.0144   0.6270   0.9200
   5.250   0.7316   0.01145   0.00602  -0.0152   0.6179   0.9200
   5.500   0.7576   0.01118   0.00569  -0.0145   0.6128   0.9200
   5.750   0.7867   0.01129   0.00587  -0.0152   0.6028   0.9200
   6.000   0.8141   0.01126   0.00585  -0.0152   0.5946   0.9200
   6.250   0.8413   0.01121   0.00578  -0.0151   0.5857   0.9200
   6.500   0.8695   0.01133   0.00593  -0.0156   0.5743   0.9200
   6.750   0.8970   0.01143   0.00607  -0.0159   0.5633   0.9200
   7.000   0.9243   0.01155   0.00618  -0.0161   0.5514   0.9200
   7.250   0.9514   0.01172   0.00635  -0.0164   0.5379   0.9200
   7.500   0.9784   0.01196   0.00659  -0.0168   0.5233   0.9200
   7.750   1.0050   0.01225   0.00689  -0.0173   0.5077   0.9200
   8.000   1.0313   0.01261   0.00725  -0.0177   0.4913   0.9200
   8.250   1.0567   0.01304   0.00767  -0.0182   0.4731   0.9200
   8.500   1.0811   0.01360   0.00821  -0.0189   0.4526   0.9200
   8.750   1.1046   0.01429   0.00888  -0.0196   0.4316   0.9200
   9.000   1.1252   0.01509   0.00963  -0.0200   0.4101   0.9200
   9.250   1.1420   0.01603   0.01052  -0.0200   0.3859   0.9200
   9.500   1.1548   0.01701   0.01144  -0.0193   0.3633   0.9200
   9.750   1.1627   0.01802   0.01240  -0.0176   0.3418   0.9200
  10.000   1.1675   0.01909   0.01339  -0.0154   0.3209   0.9200
  10.250   1.1731   0.02025   0.01447  -0.0135   0.2986   0.9200
  10.500   1.1787   0.02149   0.01563  -0.0118   0.2765   0.9200
  10.750   1.1836   0.02284   0.01689  -0.0102   0.2541   0.9200
  11.000   1.1886   0.02424   0.01821  -0.0086   0.2318   0.9200
  11.250   1.1922   0.02577   0.01965  -0.0070   0.2101   0.9200
  11.500   1.1968   0.02729   0.02110  -0.0056   0.1888   0.9200
  11.750   1.1999   0.02897   0.02271  -0.0042   0.1689   0.9200
  12.000   1.2039   0.03069   0.02436  -0.0030   0.1490   0.9200
  12.250   1.2065   0.03256   0.02616  -0.0018   0.1298   0.9200
  12.750   1.2109   0.03659   0.03003   0.0004   0.0969   0.9200
  13.000   1.2135   0.03867   0.03206   0.0013   0.0836   0.9200
  13.250   1.2156   0.04084   0.03419   0.0022   0.0729   0.9200
  13.500   1.2183   0.04300   0.03632   0.0029   0.0641   0.9200
  13.750   1.2240   0.04494   0.03831   0.0034   0.0568   0.9200
  14.000   1.2248   0.04741   0.04075   0.0040   0.0508   0.9200
  14.250   1.2318   0.04928   0.04273   0.0043   0.0456   0.9200
  14.500   1.2315   0.05198   0.04543   0.0047   0.0413   0.9200
  14.750   1.2379   0.05402   0.04758   0.0049   0.0379   0.9200
  15.000   1.2410   0.05645   0.05006   0.0050   0.0340   0.9200
  15.250   1.2410   0.05928   0.05294   0.0052   0.0303   0.9200
  15.500   1.2439   0.06184   0.05556   0.0051   0.0255   0.9200
  15.750   1.2403   0.06525   0.05902   0.0051   0.0197   0.9200
  16.000   1.2305   0.06951   0.06331   0.0049   0.0153   0.9200
  16.250   1.2228   0.07363   0.06748   0.0045   0.0130   0.9200
  16.500   1.2128   0.07821   0.07216   0.0039   0.0118   0.9200
