  
       XFOIL         Version 6.97
  
 Calculated polar for: H15                                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        0.920 (bottom)  
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.1105   0.01313   0.00572  -0.0568   0.7788   0.0904
  -3.800  -0.0892   0.01285   0.00546  -0.0567   0.7737   0.1037
  -3.600  -0.0683   0.01256   0.00519  -0.0565   0.7696   0.1190
  -3.400  -0.0473   0.01231   0.00498  -0.0562   0.7658   0.1365
  -3.200  -0.0257   0.01209   0.00483  -0.0562   0.7605   0.1567
  -3.000  -0.0042   0.01189   0.00465  -0.0561   0.7560   0.1791
  -2.800   0.0168   0.01169   0.00447  -0.0558   0.7524   0.2033
  -2.600   0.0384   0.01148   0.00436  -0.0559   0.7474   0.2296
  -2.400   0.0595   0.01125   0.00422  -0.0557   0.7428   0.2613
  -2.200   0.0800   0.01096   0.00406  -0.0555   0.7389   0.3055
  -2.000   0.0992   0.01055   0.00395  -0.0551   0.7346   0.3886
  -1.800   0.1141   0.00981   0.00387  -0.0539   0.7296   0.5601
  -1.600   0.1262   0.00907   0.00390  -0.0513   0.7255   0.7699
  -1.400   0.1544   0.00899   0.00406  -0.0515   0.7222   0.8846
  -1.200   0.1839   0.00910   0.00415  -0.0526   0.7170   0.9200
  -1.000   0.2072   0.00910   0.00405  -0.0529   0.7125   0.9200
  -0.800   0.2304   0.00912   0.00393  -0.0531   0.7087   0.9200
  -0.600   0.2537   0.00915   0.00389  -0.0534   0.7039   0.9200
  -0.400   0.2768   0.00917   0.00384  -0.0537   0.6991   0.9200
  -0.200   0.2999   0.00920   0.00377  -0.0539   0.6952   0.9200
   0.000   0.3229   0.00925   0.00374  -0.0541   0.6911   0.9200
   0.200   0.3458   0.00928   0.00373  -0.0544   0.6861   0.9200
   0.400   0.3687   0.00931   0.00369  -0.0545   0.6817   0.9200
   0.600   0.3915   0.00937   0.00365  -0.0546   0.6779   0.9200
   0.800   0.4142   0.00942   0.00369  -0.0549   0.6726   0.9200
   1.000   0.4369   0.00946   0.00368  -0.0550   0.6680   0.9200
   1.200   0.4597   0.00952   0.00365  -0.0552   0.6643   0.9200
   1.400   0.4822   0.00958   0.00371  -0.0554   0.6593   0.9200
   1.600   0.5048   0.00964   0.00373  -0.0555   0.6545   0.9200
   1.800   0.5275   0.00969   0.00372  -0.0556   0.6505   0.9200
   2.000   0.5499   0.00977   0.00379  -0.0558   0.6458   0.9200
   2.200   0.5723   0.00983   0.00384  -0.0559   0.6405   0.9200
   2.400   0.5948   0.00989   0.00385  -0.0560   0.6362   0.9200
   2.600   0.6172   0.00998   0.00392  -0.0561   0.6316   0.9200
   2.800   0.6394   0.01005   0.00400  -0.0562   0.6264   0.9200
   3.000   0.6618   0.01012   0.00403  -0.0563   0.6220   0.9200
   3.200   0.6841   0.01022   0.00411  -0.0564   0.6174   0.9200
   3.400   0.7061   0.01029   0.00421  -0.0565   0.6119   0.9200
   3.600   0.7284   0.01036   0.00424  -0.0566   0.6071   0.9200
   4.000   0.7722   0.01054   0.00444  -0.0567   0.5961   0.9200
   4.200   0.7944   0.01062   0.00448  -0.0568   0.5912   0.9200
   4.400   0.8160   0.01071   0.00462  -0.0568   0.5852   0.9200
   4.600   0.8378   0.01079   0.00472  -0.0568   0.5795   0.9200
   4.800   0.8597   0.01090   0.00480  -0.0568   0.5742   0.9200
   5.000   0.8810   0.01098   0.00493  -0.0568   0.5673   0.9200
   5.200   0.9028   0.01108   0.00499  -0.0568   0.5617   0.9200
   5.400   0.9238   0.01117   0.00515  -0.0567   0.5544   0.9200
